Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,63.53,9.04,29.43
0,碎音鈸,61.76,16.72,26.24
0,碎音鈸,61.65,16.85,28.39
0,碎音鈸,59.67,20.28,32.28
0,碎音鈸,59.0,18.42,26.57
0,碎音鈸,59.51,21.72,25.26
0,碎音鈸,57.19,18.23,26.24
0,碎音鈸,53.74,13.88,26.7
0,碎音鈸,53.06,15.14,27.37
0,碎音鈸,55.34,11.83,27.1
0,碎音鈸,57.69,13.27,26.19
0,碎音鈸,58.55,14.39,24.5
0,碎音鈸,58.29,15.58,24.09
0,碎音鈸,62.29,13.85,25.3
0,碎音鈸,62.15,12.68,23.54
0,碎音鈸,60.63,14.81,20.69
0,碎音鈸,57.16,12.98,18.19
0,碎音鈸,54.84,10.47,20.55
0,碎音鈸,55.47,11.63,22.17
0,碎音鈸,54.16,11.54,22.15
1,小鼓,16.59,12.85,28.05
1,小鼓,17.56,12.09,30.65
1,小鼓,20.13,11.76,21.99
1,小鼓,22.6,14.43,21.25
1,小鼓,24.48,11.82,23.24
1,小鼓,27.43,15.74,23.98
1,小鼓,27.15,14.28,25.06
1,小鼓,25.79,13.49,25.74
1,小鼓,26.25,14.68,25.52
1,小鼓,25.76,11.86,24.18
1,小鼓,25.88,17.07,25.24
1,小鼓,25.75,15.06,24.35
1,小鼓,25.24,12.62,23.85
1,小鼓,26.45,14.83,22.31
1,小鼓,25.27,14.82,23.76
1,小鼓,25.97,16.07,19.49
1,小鼓,26.29,16.85,21.77
1,小鼓,26.6,13.94,22.64
1,小鼓,27.1,13.43,22.82
1,小鼓,29.05,15.79,23.02
2,高音中鼓,11.83,11.95,16.63
2,高音中鼓,15.03,10.66,18.87
2,高音中鼓,17.06,14.91,20.08
2,高音中鼓,18.09,16.71,21.62
2,高音中鼓,18.45,12.03,19.35
2,高音中鼓,19.64,16.01,19.73
2,高音中鼓,19.79,14.44,21.26
2,高音中鼓,18.99,18.89,20.65
2,高音中鼓,20.64,14.92,22.83
2,高音中鼓,20.23,20.02,22.75
2,高音中鼓,21.98,17.71,21.78
2,高音中鼓,20.54,20.45,23.87
2,高音中鼓,23.25,20.31,24.44
2,高音中鼓,22.45,18.52,20.05
2,高音中鼓,22.38,18.34,21.36
2,高音中鼓,24.57,18.56,20.29
2,高音中鼓,24.11,16.94,21.68
2,高音中鼓,23.69,15.82,20.5
2,高音中鼓,23.53,18.25,22.51
2,高音中鼓,25.75,16.19,21.46
3,低音中鼓,1.03,17.02,20.59
3,低音中鼓,0.26,15.12,25.36
3,低音中鼓,4.88,13.7,24.22
3,低音中鼓,2.26,14.84,24.25
3,低音中鼓,3.27,12.21,20.87
3,低音中鼓,8.92,12.89,21.76
3,低音中鼓,9.62,10.45,19.77
3,低音中鼓,11.18,7.85,18.23
3,低音中鼓,11.28,9.04,17.71
3,低音中鼓,5.4,14.88,22.58
3,低音中鼓,6.1,11.6,23.33
3,低音中鼓,7.85,16.08,21.07
3,低音中鼓,8.55,13.93,22.08
3,低音中鼓,6.72,17.49,21.23
3,低音中鼓,8.27,15.71,22.1
3,低音中鼓,8.46,16.84,21.05
3,低音中鼓,10.72,14.78,21.56
3,低音中鼓,12.35,13.06,22.49
3,低音中鼓,14.1,7.65,16.26
3,低音中鼓,15.57,14.72,23.3
4,落地鼓,-8.67,14.56,21.02
4,落地鼓,-6.93,12.57,22.47
4,落地鼓,-5.38,11.3,22.62
4,落地鼓,-3.58,10.87,20.24
4,落地鼓,-3.15,17.63,16.8
4,落地鼓,-0.2,13.62,20.18
4,落地鼓,1.26,15.8,19.49
4,落地鼓,2.45,15.44,18.42
4,落地鼓,1.36,16.57,18.19
4,落地鼓,1.47,15.9,16.43
4,落地鼓,3.48,17.43,18.57
4,落地鼓,5.18,14.44,17.22
4,落地鼓,5.43,15.66,16.93
4,落地鼓,7.6,15.27,18.03
4,落地鼓,6.63,20.72,20.02
4,落地鼓,7.5,19.78,15.05
4,落地鼓,7.99,18.3,17.26
4,落地鼓,8.01,17.5,17.48
4,落地鼓,8.15,14.36,18.8
4,落地鼓,8.09,14.52,18.24
5,碎音鈸2,-19.28,12.95,17.66
5,碎音鈸2,-18.46,15.05,21.9
5,碎音鈸2,-19.0,14.67,16.27
5,碎音鈸2,-19.38,18.48,16.51
