Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,72.71,13.07,34.12
0,碎音鈸,74.34,12.05,34.4
0,碎音鈸,74.47,15.2,24.74
0,碎音鈸,73.04,7.0,25.3
0,碎音鈸,71.42,13.22,24.26
0,碎音鈸,71.38,13.76,25.19
0,碎音鈸,71.35,10.39,26.31
0,碎音鈸,69.31,17.02,27.7
0,碎音鈸,68.53,16.66,27.65
0,碎音鈸,67.74,14.8,25.52
0,碎音鈸,68.11,13.79,27.04
0,碎音鈸,68.78,10.37,27.12
0,碎音鈸,68.03,12.68,27.74
0,碎音鈸,69.17,11.83,24.01
0,碎音鈸,69.34,10.67,24.15
0,碎音鈸,67.7,13.58,23.42
0,碎音鈸,67.38,12.19,27.38
0,碎音鈸,67.98,11.0,30.13
0,碎音鈸,68.86,8.05,24.78
0,碎音鈸,66.99,16.89,33.04
1,小鼓,40.32,-6.83,32.09
1,小鼓,45.68,-7.31,29.68
1,小鼓,46.95,-12.44,29.87
1,小鼓,47.63,-9.35,29.46
1,小鼓,50.88,-14.26,30.52
1,小鼓,52.09,-15.43,29.44
1,小鼓,52.35,-16.6,27.99
1,小鼓,48.37,-13.81,27.24
1,小鼓,48.16,-15.75,26.32
1,小鼓,45.58,-16.49,23.3
1,小鼓,51.99,-20.25,25.28
1,小鼓,52.78,-15.91,25.0
1,小鼓,53.25,-16.97,27.32
1,小鼓,52.83,-16.7,25.45
1,小鼓,54.71,-20.05,29.77
1,小鼓,55.8,-16.08,27.03
1,小鼓,58.77,-20.7,29.11
1,小鼓,59.66,-21.81,24.86
1,小鼓,60.06,-25.59,20.81
1,小鼓,58.56,-17.52,30.57
2,高音中鼓,25.92,30.93,26.58
2,高音中鼓,27.44,28.28,27.86
2,高音中鼓,27.7,26.75,21.17
2,高音中鼓,26.67,26.4,22.2
2,高音中鼓,27.97,27.89,21.55
2,高音中鼓,25.81,24.32,21.13
2,高音中鼓,27.79,26.04,21.19
2,高音中鼓,30.53,26.57,20.95
2,高音中鼓,32.57,26.76,21.14
2,高音中鼓,34.33,32.51,21.18
2,高音中鼓,36.33,35.37,20.75
2,高音中鼓,40.85,35.15,20.19
2,高音中鼓,39.9,34.4,23.21
2,高音中鼓,41.46,40.58,26.27
2,高音中鼓,42.45,37.26,26.26
2,高音中鼓,44.7,40.97,27.55
2,高音中鼓,44.96,42.83,28.77
2,高音中鼓,44.1,40.87,23.57
2,高音中鼓,49.23,36.18,22.38
2,高音中鼓,55.89,39.65,27.06
3,低音中鼓,57.4,44.73,29.54
3,低音中鼓,20.0,6.31,22.04
3,低音中鼓,20.42,22.45,27.63
3,低音中鼓,20.58,22.6,26.51
3,低音中鼓,20.71,13.04,24.58
3,低音中鼓,19.83,20.76,23.27
3,低音中鼓,19.27,18.26,23.66
3,低音中鼓,19.64,18.18,22.03
3,低音中鼓,20.07,20.79,19.51
3,低音中鼓,19.65,13.61,24.34
3,低音中鼓,19.84,11.33,20.13
3,低音中鼓,17.79,14.2,23.3
