Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,92.76,5.54,23.31
0,碎音鈸,90.52,2.99,32.74
0,碎音鈸,88.96,8.57,31.34
0,碎音鈸,88.17,4.66,26.3
0,碎音鈸,88.73,-0.68,28.12
0,碎音鈸,86.25,2.23,27.08
0,碎音鈸,85.84,6.62,23.29
0,碎音鈸,84.57,4.91,21.07
0,碎音鈸,82.53,4.4,18.58
0,碎音鈸,79.13,12.93,24.82
0,碎音鈸,78.96,7.78,23.79
0,碎音鈸,78.39,8.27,17.07
0,碎音鈸,78.04,4.87,18.4
0,碎音鈸,76.98,9.14,17.45
0,碎音鈸,78.94,4.9,18.71
0,碎音鈸,75.93,8.91,17.37
0,碎音鈸,77.23,5.62,18.03
0,碎音鈸,75.94,9.22,17.23
0,碎音鈸,77.12,8.29,16.09
0,碎音鈸,77.31,9.69,17.19
1,小鼓,37.99,4.68,22.86
1,小鼓,45.98,4.94,24.38
1,小鼓,45.84,6.72,16.22
1,小鼓,45.92,7.3,18.04
1,小鼓,45.23,11.22,18.01
1,小鼓,46.64,5.69,21.56
1,小鼓,45.79,6.58,18.62
1,小鼓,48.0,2.37,18.54
1,小鼓,47.96,2.38,17.86
1,小鼓,48.92,3.8,16.1
1,小鼓,51.64,4.21,18.34
1,小鼓,51.02,5.17,19.56
1,小鼓,47.91,7.81,19.81
1,小鼓,48.43,8.65,20.89
1,小鼓,50.84,1.91,22.93
1,小鼓,54.23,2.66,22.37
1,小鼓,54.22,3.25,20.57
1,小鼓,54.11,6.95,24.56
1,小鼓,55.21,3.83,22.98
1,小鼓,55.09,4.32,19.94
2,高音中鼓,26.81,2.99,19.11
2,高音中鼓,29.99,3.35,21.44
2,高音中鼓,31.76,4.59,18.71
2,高音中鼓,32.59,4.61,18.64
2,高音中鼓,29.96,5.61,17.71
2,高音中鼓,32.47,5.4,16.01
2,高音中鼓,33.73,5.65,17.29
2,高音中鼓,35.77,6.88,19.13
2,高音中鼓,35.9,9.73,19.88
2,高音中鼓,37.03,7.08,21.88
2,高音中鼓,40.42,11.83,20.65
2,高音中鼓,38.75,7.93,22.03
2,高音中鼓,38.28,8.08,20.29
2,高音中鼓,39.1,4.91,21.49
2,高音中鼓,38.45,7.99,18.42
2,高音中鼓,41.74,5.32,19.74
2,高音中鼓,40.74,5.88,19.35
2,高音中鼓,39.59,7.86,21.08
2,高音中鼓,41.08,5.65,23.24
2,高音中鼓,43.48,7.88,20.56
3,低音中鼓,12.66,8.69,18.45
3,低音中鼓,13.78,12.18,20.74
3,低音中鼓,15.25,12.86,13.92
3,低音中鼓,16.25,13.79,15.32
3,低音中鼓,17.68,13.12,15.32
3,低音中鼓,19.59,11.65,13.13
3,低音中鼓,21.64,11.38,13.03
3,低音中鼓,22.92,11.14,19.56
3,低音中鼓,22.77,7.15,17.94
3,低音中鼓,23.93,5.64,15.95
3,低音中鼓,19.4,9.66,16.91
3,低音中鼓,21.93,7.09,17.85
3,低音中鼓,21.94,9.31,15.89
3,低音中鼓,23.3,8.61,17.04
3,低音中鼓,25.14,7.56,16.94
3,低音中鼓,25.32,8.62,20.32
3,低音中鼓,24.88,15.66,21.53
3,低音中鼓,27.39,10.7,23.04
3,低音中鼓,27.63,18.37,23.27
3,低音中鼓,27.37,15.62,20.64
4,落地鼓,27.25,12.11,22.05
4,落地鼓,17.43,12.36,22.07
4,落地鼓,17.62,11.39,24.2
4,落地鼓,18.19,11.16,16.8
4,落地鼓,19.53,11.11,18.84
4,落地鼓,19.25,16.87,20.47
4,落地鼓,20.29,12.79,18.33
4,落地鼓,21.07,14.5,21.61
4,落地鼓,21.0,14.28,17.91
4,落地鼓,20.43,13.24,17.18
4,落地鼓,21.24,11.63,16.27
4,落地鼓,22.46,9.46,18.36
4,落地鼓,23.02,13.12,17.33
4,落地鼓,22.87,14.3,17.75
4,落地鼓,23.82,9.21,17.82
4,落地鼓,25.2,8.81,17.85
4,落地鼓,24.9,14.72,17.15
4,落地鼓,24.23,12.52,20.56
4,落地鼓,26.55,7.75,20.3
4,落地鼓,25.8,10.88,17.18
5,碎音鈸2,5.83,8.23,15.7
5,碎音鈸2,10.54,9.18,19.08
5,碎音鈸2,10.94,9.91,15.79
5,碎音鈸2,11.4,7.82,14.75
5,碎音鈸2,11.18,9.53,11.08
5,碎音鈸2,10.03,9.7,10.23
5,碎音鈸2,11.56,7.74,9.97
5,碎音鈸2,12.92,8.63,15.12
5,碎音鈸2,13.93,8.13,16.83
5,碎音鈸2,14.84,8.73,16.19
5,碎音鈸2,14.71,7.84,13.87
5,碎音鈸2,15.88,5.1,17.39
5,碎音鈸2,15.11,10.33,16.7
5,碎音鈸2,17.2,9.92,16.52
5,碎音鈸2,17.54,7.18,17.75
5,碎音鈸2,18.45,-0.2,18.01
5,碎音鈸2,18.87,2.9,15.67
5,碎音鈸2,18.37,2.73,17.82
5,碎音鈸2,18.92,6.76,15.93
5,碎音鈸2,19.19,5.66,14.92
6,疊音拔,-12.93,-1.18,12.78
6,疊音拔,-15.41,1.82,15.93
6,疊音拔,-14.32,3.21,14.38
6,疊音拔,-14.24,2.74,12.91
6,疊音拔,-13.1,3.39,14.74
6,疊音拔,-11.51,3.47,14.34
6,疊音拔,-11.74,1.75,16.26
6,疊音拔,-13.19,1.84,16.26
6,疊音拔,-13.35,1.98,13.87
6,疊音拔,-19.87,3.56,13.54
6,疊音拔,-19.46,4.36,13.98
6,疊音拔,-19.03,5.31,13.25
6,疊音拔,-17.65,4.65,18.22
6,疊音拔,-17.72,4.01,16.52
6,疊音拔,-17.3,3.82,15.28
6,疊音拔,-17.13,3.94,15.91
6,疊音拔,-15.55,3.6,15.28
6,疊音拔,-16.16,7.37,18.79
6,疊音拔,-16.13,1.63,15.12
6,疊音拔,-16.3,2.4,14.08
