Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,66.74,12.68,28.99
0,碎音鈸,63.38,10.9,29.57
0,碎音鈸,61.55,12.57,20.11
0,碎音鈸,60.91,9.73,20.98
0,碎音鈸,58.6,12.6,22.14
0,碎音鈸,55.97,16.21,25.08
0,碎音鈸,55.58,18.71,25.79
0,碎音鈸,55.85,18.81,23.28
0,碎音鈸,55.22,14.1,24.81
0,碎音鈸,54.66,15.96,22.87
0,碎音鈸,53.49,16.88,23.23
0,碎音鈸,52.18,20.14,23.68
0,碎音鈸,52.41,16.92,23.93
0,碎音鈸,51.25,18.49,23.44
0,碎音鈸,53.17,16.71,18.57
0,碎音鈸,52.81,18.02,18.61
0,碎音鈸,53.85,16.56,20.73
0,碎音鈸,53.52,15.06,23.11
0,碎音鈸,52.51,17.39,20.24
0,碎音鈸,51.96,19.42,25.73
1,小鼓,24.06,14.43,25.08
1,小鼓,28.32,14.5,22.96
1,小鼓,30.98,12.5,22.97
1,小鼓,31.05,17.27,23.43
1,小鼓,32.94,11.3,24.93
1,小鼓,34.76,9.86,23.66
1,小鼓,34.39,16.11,23.15
1,小鼓,33.01,18.13,24.23
1,小鼓,31.34,22.16,27.12
1,小鼓,29.8,18.81,29.38
1,小鼓,32.09,17.69,27.38
1,小鼓,33.92,15.87,24.94
1,小鼓,33.02,13.1,23.74
1,小鼓,31.26,20.67,24.97
1,小鼓,34.22,19.3,26.52
1,小鼓,34.47,18.39,27.57
1,小鼓,34.12,17.65,26.61
1,小鼓,35.68,16.79,23.37
1,小鼓,37.17,14.02,21.64
1,小鼓,38.47,20.29,23.14
2,高音中鼓,10.36,9.49,21.4
2,高音中鼓,11.25,11.45,23.98
2,高音中鼓,13.58,7.3,22.86
2,高音中鼓,13.09,11.82,19.14
2,高音中鼓,15.39,8.46,16.7
2,高音中鼓,16.91,9.7,19.31
2,高音中鼓,17.79,9.44,17.68
2,高音中鼓,19.53,6.82,19.67
2,高音中鼓,21.25,8.23,21.31
2,高音中鼓,22.58,12.35,19.96
2,高音中鼓,23.7,14.28,24.51
2,高音中鼓,21.83,10.2,21.92
2,高音中鼓,22.28,10.76,20.95
2,高音中鼓,22.17,9.73,18.01
2,高音中鼓,13.48,15.64,18.8
2,高音中鼓,21.51,9.38,20.41
2,高音中鼓,26.61,9.42,16.79
2,高音中鼓,27.41,11.94,15.88
2,高音中鼓,27.96,10.14,18.3
2,高音中鼓,31.08,13.15,21.33
3,低音中鼓,5.83,13.7,19.84
3,低音中鼓,5.19,13.18,27.86
3,低音中鼓,6.55,14.1,18.21
3,低音中鼓,7.2,17.47,18.76
3,低音中鼓,8.16,15.74,18.74
3,低音中鼓,9.35,15.19,20.86
3,低音中鼓,10.84,11.22,22.79
3,低音中鼓,12.23,12.0,21.74
3,低音中鼓,12.73,11.56,20.02
3,低音中鼓,13.73,7.69,22.36
3,低音中鼓,13.61,10.33,19.75
3,低音中鼓,14.76,6.92,20.89
3,低音中鼓,14.59,11.23,19.75
3,低音中鼓,14.63,10.77,17.32
3,低音中鼓,15.38,8.17,18.11
3,低音中鼓,15.21,6.99,18.29
3,低音中鼓,15.65,12.1,18.43
3,低音中鼓,16.05,11.18,18.87
3,低音中鼓,16.91,7.73,17.99
3,低音中鼓,17.27,9.26,16.92
4,落地鼓,-4.81,11.76,17.48
4,落地鼓,-3.73,13.54,18.57
4,落地鼓,-1.44,10.31,19.87
4,落地鼓,1.32,9.77,16.8
4,落地鼓,3.34,7.17,17.13
4,落地鼓,4.81,11.77,18.2
4,落地鼓,4.93,9.6,20.33
4,落地鼓,5.26,12.44,18.51
4,落地鼓,5.31,8.52,17.98
4,落地鼓,4.18,10.78,16.11
4,落地鼓,6.7,8.75,15.06
4,落地鼓,5.35,11.74,16.34
4,落地鼓,7.37,4.34,19.28
4,落地鼓,8.91,5.84,13.73
4,落地鼓,8.24,7.99,13.46
4,落地鼓,8.21,7.41,16.27
4,落地鼓,9.63,11.85,21.52
4,落地鼓,10.79,8.26,19.89
4,落地鼓,11.39,11.44,15.19
4,落地鼓,11.96,8.83,16.84
5,碎音鈸2,-11.22,12.38,18.55
5,碎音鈸2,-9.47,10.73,19.0
5,碎音鈸2,-8.82,8.88,14.61
5,碎音鈸2,-8.21,7.55,12.11
5,碎音鈸2,-8.35,10.64,12.59
5,碎音鈸2,-7.3,7.63,10.34
5,碎音鈸2,-5.38,10.97,15.04
5,碎音鈸2,5.89,12.99,17.39
5,碎音鈸2,-1.2,10.83,17.39
5,碎音鈸2,-3.53,11.0,16.09
5,碎音鈸2,2.3,9.8,16.77
5,碎音鈸2,1.75,12.1,18.83
5,碎音鈸2,1.36,16.5,22.02
5,碎音鈸2,-0.83,10.14,20.45
5,碎音鈸2,-1.16,12.06,16.49
