event_id,hand,true,pred,prob,dominant_share,peak_g,nn_distance,band
123,R,Hi-Hat,Crash,0.8715886215205534,0.909258,4.599739,1.4290496610743828,IN-LIKE
126,R,Hi-Hat,Crash,0.5398494873212626,0.956262,5.547108,2.1113139459429777,IN-LIKE
127,R,Hi-Hat,Crash,0.699150071964091,0.946846,5.196126,2.1497341472122855,IN-LIKE
131,R,Hi-Hat,Hi-Hat,0.5184635718904795,0.953685,4.588429,1.5785831047905796,IN-LIKE
132,R,小鼓,Hi-Hat,0.8358473364660324,0.969935,6.96326,2.4326924342329983,BORDERLINE
133,R,高音 Tom,Hi-Hat,0.6607786817508069,0.967907,5.508405,1.9486705535667854,IN-LIKE
134,R,中音 Tom,中音 Tom,0.9966713763586206,0.978943,6.083076,2.6013785349672496,BORDERLINE
135,R,落地 Tom,中音 Tom,0.895647841673988,0.943836,7.50704,1.4913444105636984,IN-LIKE
136,R,小鼓,Hi-Hat,0.7219566717301994,0.920958,7.2704,1.917819343407766,IN-LIKE
137,L,小鼓,小鼓,0.9999940087869885,0.907123,6.61646,2.408661181541144,BORDERLINE
143,R,落地 Tom,落地 Tom,0.9760044265071578,0.926511,7.919447,1.7584341751139734,IN-LIKE
145,R,Crash,Crash,0.9436970443742264,0.955611,5.802913,1.5127644831787896,IN-LIKE
146,R,Hi-Hat,Crash,0.8192322598950827,0.904166,4.825895,1.2888272999470651,IN-LIKE
149,R,Hi-Hat,Crash,0.835244417049927,0.972366,6.338883,1.6335457966953835,IN-LIKE
150,R,Hi-Hat,Hi-Hat,0.7352071349051893,0.96953,6.592518,1.7273185420239245,IN-LIKE
151,R,Hi-Hat,Crash,0.7345639656515538,0.925139,4.77434,1.7135265907414978,IN-LIKE
154,R,Hi-Hat,Hi-Hat,0.8841589772131826,0.95169,6.162234,1.2599472050875058,IN-LIKE
155,R,Hi-Hat,Hi-Hat,0.9532002768135024,0.956165,5.935132,1.315989020546494,IN-LIKE
156,R,Hi-Hat,Hi-Hat,0.9395075766122833,0.914598,6.102628,1.1113594273617762,IN-LIKE
159,R,Hi-Hat,Hi-Hat,0.8915541841063485,0.950067,5.659759,1.5058424196786935,IN-LIKE
160,R,Hi-Hat,Hi-Hat,0.8790078721884043,0.983095,5.9239,1.3184320625716304,IN-LIKE
161,R,Hi-Hat,Hi-Hat,0.8921794617378013,0.944585,5.839563,1.3622932722273595,IN-LIKE
164,R,Hi-Hat,Hi-Hat,0.7091288177505775,0.954284,5.523867,1.4827509296937307,IN-LIKE
165,R,Hi-Hat,Hi-Hat,0.8377893120623006,0.961326,5.836413,1.8503921569157213,IN-LIKE
166,R,Hi-Hat,Hi-Hat,0.858885278461141,0.953052,5.205982,1.6594045745725878,IN-LIKE
169,R,Hi-Hat,Hi-Hat,0.8109997284159848,0.963265,5.545106,1.5948074216372061,IN-LIKE
170,R,Hi-Hat,Hi-Hat,0.5716889677449132,0.977153,6.10396,1.4980862605141285,IN-LIKE
171,R,Hi-Hat,Hi-Hat,0.9158855956254228,0.926001,6.856245,1.5419425302807743,IN-LIKE
174,R,Hi-Hat,Hi-Hat,0.6272306143552416,0.957591,6.914611,1.715137651071642,IN-LIKE
202,R,Crash,小鼓,0.6143605932955234,0.942254,5.866957,2.3760603288637068,BORDERLINE
205,R,Hi-Hat,Crash,0.9817918540769186,0.951016,5.234064,1.202001400333507,IN-LIKE
206,R,Hi-Hat,Crash,0.8049887330920668,0.978062,5.614295,1.1931117967340432,IN-LIKE
207,R,Hi-Hat,Crash,0.8207348274063001,0.923245,4.792088,1.3800859988514205,IN-LIKE
210,R,Hi-Hat,Crash,0.9421985191801094,0.933394,3.863308,1.5007189391528823,IN-LIKE
211,R,Hi-Hat,Hi-Hat,0.5468283594427344,0.956533,4.96883,2.194265128535294,IN-LIKE
212,R,Hi-Hat,Crash,0.931890920878755,0.916201,4.696144,1.2738613019865064,IN-LIKE
215,R,Hi-Hat,Hi-Hat,0.7371681875956724,0.965322,5.23663,1.1762738303114058,IN-LIKE
216,R,Hi-Hat,Hi-Hat,0.9929282875668912,0.979725,5.317536,1.5323852736235775,IN-LIKE
220,R,Hi-Hat,Hi-Hat,0.5802489442598617,0.944724,4.905198,1.1188428637313002,IN-LIKE
222,R,Hi-Hat,Hi-Hat,0.9229752204540191,0.946614,5.845067,1.0053139756248972,IN-LIKE
223,R,Hi-Hat,Hi-Hat,0.565275601631029,0.937592,6.597569,1.9445091941970964,IN-LIKE
