Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,73.92,16.15,21.02
0,碎音鈸,74.12,16.03,21.02
0,碎音鈸,73.92,18.53,21.89
0,碎音鈸,71.97,19.88,19.24
0,碎音鈸,69.03,23.46,21.34
0,碎音鈸,69.2,20.98,20.21
0,碎音鈸,67.9,23.94,20.09
0,碎音鈸,68.38,21.02,24.48
0,碎音鈸,66.35,21.88,24.48
0,碎音鈸,65.82,20.89,20.74
0,碎音鈸,65.72,19.48,20.67
0,碎音鈸,65.09,20.15,18.97
0,碎音鈸,64.42,20.79,17.59
0,碎音鈸,64.42,18.33,19.38
0,碎音鈸,63.51,18.29,18.04
0,碎音鈸,64.95,15.54,21.52
0,碎音鈸,63.99,16.54,20.37
0,碎音鈸,66.16,14.42,21.31
0,碎音鈸,64.86,17.19,22.76
0,碎音鈸,61.98,17.34,21.46
1,小鼓,19.88,7.54,14.29
1,小鼓,20.38,7.02,18.92
1,小鼓,21.36,10.13,21.49
1,小鼓,13.02,12.67,17.52
1,小鼓,20.71,11.18,16.56
1,小鼓,20.25,12.51,17.25
1,小鼓,28.57,13.52,16.77
1,小鼓,26.5,16.56,15.78
1,小鼓,28.51,16.97,16.91
1,小鼓,31.97,17.04,15.06
1,小鼓,32.86,15.93,18.05
1,小鼓,31.86,12.33,20.37
1,小鼓,29.89,13.25,17.3
1,小鼓,31.4,13.33,17.21
1,小鼓,35.43,10.79,16.15
1,小鼓,36.98,10.52,17.04
1,小鼓,27.65,11.54,17.0
1,小鼓,35.97,13.49,21.39
1,小鼓,35.52,12.63,18.45
1,小鼓,36.91,10.09,18.07
2,高音中鼓,13.81,10.69,17.42
2,高音中鼓,15.76,13.76,19.95
2,高音中鼓,18.53,12.31,18.38
2,高音中鼓,19.45,12.9,18.28
2,高音中鼓,19.66,12.47,17.14
2,高音中鼓,18.8,14.44,15.67
2,高音中鼓,20.04,9.95,17.38
2,高音中鼓,19.09,8.4,15.18
2,高音中鼓,26.28,13.44,17.2
2,高音中鼓,22.72,14.11,16.33
2,高音中鼓,21.44,15.72,16.95
2,高音中鼓,21.98,11.1,18.75
2,高音中鼓,22.64,10.64,16.6
2,高音中鼓,22.05,13.36,17.03
2,高音中鼓,23.62,10.88,20.5
2,高音中鼓,23.24,14.76,21.62
2,高音中鼓,24.0,11.18,20.86
2,高音中鼓,24.06,10.05,16.23
2,高音中鼓,25.56,9.64,17.97
2,高音中鼓,27.75,7.09,18.66
3,低音中鼓,-0.88,16.89,20.54
3,低音中鼓,1.93,8.6,21.69
3,低音中鼓,1.16,13.23,17.02
3,低音中鼓,5.75,10.75,15.43
3,低音中鼓,5.53,11.35,12.68
3,低音中鼓,9.96,6.16,17.17
3,低音中鼓,10.41,4.27,14.27
3,低音中鼓,6.45,7.36,15.6
3,低音中鼓,4.12,8.17,13.03
3,低音中鼓,3.61,9.57,14.34
3,低音中鼓,5.5,7.45,14.5
3,低音中鼓,5.42,10.78,14.71
3,低音中鼓,7.54,9.19,14.84
3,低音中鼓,10.62,10.09,11.95
3,低音中鼓,10.46,13.27,15.6
3,低音中鼓,11.25,11.99,15.92
3,低音中鼓,12.85,12.52,15.65
3,低音中鼓,13.68,13.45,17.24
3,低音中鼓,12.86,14.3,18.04
3,低音中鼓,14.36,10.83,19.38
4,落地鼓,15.22,11.47,16.65
