Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,84.62,11.71,22.47
0,碎音鈸,82.6,19.6,29.71
0,碎音鈸,78.95,18.09,27.09
0,碎音鈸,76.15,18.38,22.79
0,碎音鈸,75.76,15.57,25.14
0,碎音鈸,72.9,22.63,22.37
0,碎音鈸,71.63,21.9,22.5
0,碎音鈸,69.34,24.76,20.56
0,碎音鈸,69.65,22.05,20.43
0,碎音鈸,65.71,21.22,21.57
0,碎音鈸,63.65,18.64,21.87
0,碎音鈸,59.87,20.92,21.2
0,碎音鈸,58.55,16.38,22.18
0,碎音鈸,60.22,18.78,20.1
0,碎音鈸,61.13,17.41,19.96
0,碎音鈸,61.2,12.21,20.58
0,碎音鈸,59.36,18.56,20.6
0,碎音鈸,59.38,14.37,19.38
0,碎音鈸,59.56,19.82,19.33
0,碎音鈸,59.78,17.64,19.55
1,小鼓,27.96,1.43,22.35
1,小鼓,29.58,13.26,31.09
1,小鼓,29.37,10.44,31.09
1,小鼓,27.73,17.77,26.45
1,小鼓,30.07,16.9,27.47
1,小鼓,30.29,23.13,26.49
1,小鼓,30.1,11.43,27.29
1,小鼓,28.64,12.02,25.29
1,小鼓,27.87,17.27,23.78
1,小鼓,30.44,19.01,24.13
1,小鼓,27.44,19.16,23.36
1,小鼓,30.09,23.48,25.66
1,小鼓,31.06,19.88,26.34
1,小鼓,29.4,20.0,23.1
1,小鼓,31.77,20.29,23.78
1,小鼓,32.64,16.88,24.52
1,小鼓,33.12,20.65,20.93
1,小鼓,33.04,23.07,21.16
1,小鼓,34.06,21.22,23.2
1,小鼓,37.56,20.03,22.88
2,高音中鼓,4.28,16.08,14.65
2,高音中鼓,8.11,14.35,16.43
2,高音中鼓,9.27,15.53,18.54
2,高音中鼓,9.22,17.25,16.62
2,高音中鼓,10.07,16.1,17.37
2,高音中鼓,12.31,15.5,14.28
2,高音中鼓,13.99,12.23,15.33
2,高音中鼓,14.78,13.08,13.62
2,高音中鼓,15.32,13.78,13.2
2,高音中鼓,16.34,11.31,13.24
2,高音中鼓,17.01,13.66,16.27
2,高音中鼓,18.5,13.41,16.46
2,高音中鼓,18.27,14.44,15.16
2,高音中鼓,18.97,14.74,16.07
2,高音中鼓,21.03,17.1,18.12
2,高音中鼓,21.95,14.93,19.49
2,高音中鼓,21.9,16.24,21.07
2,高音中鼓,22.79,17.79,20.7
2,高音中鼓,24.66,16.08,21.38
2,高音中鼓,24.02,18.03,23.27
3,低音中鼓,3.63,16.95,18.76
3,低音中鼓,6.71,11.37,19.47
3,低音中鼓,9.46,13.71,18.3
3,低音中鼓,11.17,14.47,15.0
3,低音中鼓,12.58,14.75,17.13
3,低音中鼓,14.63,9.58,17.89
3,低音中鼓,15.45,9.9,17.44
3,低音中鼓,15.78,12.73,14.71
3,低音中鼓,15.25,12.94,15.39
3,低音中鼓,14.61,14.4,16.52
3,低音中鼓,15.87,11.71,14.27
3,低音中鼓,15.67,13.55,17.31
3,低音中鼓,16.44,14.7,15.41
3,低音中鼓,16.21,15.97,16.12
3,低音中鼓,15.21,19.89,18.9
3,低音中鼓,15.85,17.94,17.15
3,低音中鼓,14.91,21.76,16.15
3,低音中鼓,14.45,21.07,15.65
3,低音中鼓,12.84,20.31,15.77
3,低音中鼓,14.33,17.4,18.64
4,落地鼓,2.83,13.91,15.12
4,落地鼓,3.08,14.02,19.5
4,落地鼓,4.78,13.79,16.3
4,落地鼓,6.39,10.87,15.15
4,落地鼓,7.33,12.53,17.03
4,落地鼓,6.27,12.85,15.6
4,落地鼓,7.32,14.27,16.44
4,落地鼓,8.99,11.77,18.45
4,落地鼓,9.14,12.13,14.73
4,落地鼓,8.89,12.51,16.44
4,落地鼓,7.35,12.08,16.0
4,落地鼓,8.02,16.77,19.33
4,落地鼓,7.74,15.47,17.7
4,落地鼓,10.88,11.58,19.03
4,落地鼓,10.53,15.61,18.53
4,落地鼓,11.32,13.24,19.23
4,落地鼓,11.49,11.93,16.3
4,落地鼓,10.69,16.7,19.23
4,落地鼓,12.04,10.21,10.2
4,落地鼓,11.55,14.11,14.63
5,碎音鈸2,12.88,10.04,15.79
5,碎音鈸2,-14.23,14.51,19.14
5,碎音鈸2,-13.78,14.7,21.69
5,碎音鈸2,-11.9,13.83,21.55
5,碎音鈸2,-12.18,13.25,17.99
5,碎音鈸2,-12.08,15.02,18.21
5,碎音鈸2,-13.34,12.51,16.33
5,碎音鈸2,-12.98,13.46,14.13
5,碎音鈸2,-12.45,13.14,14.95
5,碎音鈸2,-11.77,13.12,16.51
5,碎音鈸2,-12.81,15.82,18.43
5,碎音鈸2,-12.89,14.4,18.43
5,碎音鈸2,-11.37,12.04,15.53
5,碎音鈸2,-11.85,13.49,16.42
5,碎音鈸2,-11.59,12.22,18.63
5,碎音鈸2,-12.09,11.98,16.96
5,碎音鈸2,-12.22,14.94,15.97
