Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,77.24,10.72,28.3
0,碎音鈸,74.49,10.94,31.13
0,碎音鈸,72.34,10.18,30.83
0,碎音鈸,69.03,13.68,30.34
0,碎音鈸,67.72,13.42,28.43
0,碎音鈸,67.49,12.72,27.25
0,碎音鈸,68.81,11.49,32.07
0,碎音鈸,68.96,6.37,32.98
0,碎音鈸,66.31,15.37,32.33
0,碎音鈸,64.47,13.4,26.98
0,碎音鈸,65.58,11.19,27.15
0,碎音鈸,63.76,12.68,28.03
0,碎音鈸,62.75,14.4,24.78
0,碎音鈸,61.89,12.88,25.02
0,碎音鈸,61.89,13.84,26.33
0,碎音鈸,61.49,15.37,24.83
0,碎音鈸,61.15,17.8,29.62
0,碎音鈸,62.96,11.27,23.36
0,碎音鈸,65.25,10.78,28.34
0,碎音鈸,65.17,12.86,30.95
1,小鼓,33.3,7.46,30.51
1,小鼓,35.46,6.54,32.14
1,小鼓,35.19,9.5,29.39
1,小鼓,36.99,9.91,23.53
1,小鼓,37.91,10.56,24.91
1,小鼓,39.56,9.76,25.49
1,小鼓,41.03,-3.46,25.98
1,小鼓,37.1,12.28,24.66
1,小鼓,37.56,10.23,27.27
1,小鼓,37.77,17.13,27.83
1,小鼓,38.67,6.94,28.84
1,小鼓,39.61,17.99,30.68
1,小鼓,39.97,-1.11,33.1
1,小鼓,38.74,14.45,27.41
1,小鼓,40.82,20.85,28.01
1,小鼓,39.85,13.24,26.9
1,小鼓,39.94,15.96,26.27
1,小鼓,40.95,11.04,26.7
1,小鼓,40.69,11.77,24.7
1,小鼓,42.87,7.66,23.03
2,高音中鼓,28.82,16.32,25.04
2,高音中鼓,28.14,13.91,25.86
2,高音中鼓,26.83,18.37,24.77
2,高音中鼓,27.89,14.42,20.38
2,高音中鼓,29.91,14.18,23.79
2,高音中鼓,29.92,9.06,21.36
2,高音中鼓,31.65,12.47,21.28
2,高音中鼓,32.42,15.37,26.15
2,高音中鼓,33.13,9.73,22.47
2,高音中鼓,33.92,4.62,30.63
2,高音中鼓,34.58,8.91,26.39
2,高音中鼓,33.8,10.9,27.26
2,高音中鼓,33.15,13.38,20.41
2,高音中鼓,33.0,6.71,23.5
2,高音中鼓,34.96,6.73,23.16
2,高音中鼓,35.9,8.65,24.74
2,高音中鼓,34.68,5.19,25.61
2,高音中鼓,33.23,9.47,23.84
2,高音中鼓,32.87,7.4,24.73
2,高音中鼓,35.82,5.13,27.62
3,低音中鼓,2.68,11.84,18.1
3,低音中鼓,7.14,5.79,23.98
3,低音中鼓,10.68,11.19,21.38
3,低音中鼓,11.04,11.21,20.18
3,低音中鼓,11.91,8.21,19.61
3,低音中鼓,13.86,8.4,20.32
3,低音中鼓,14.97,6.24,20.89
3,低音中鼓,15.59,11.98,22.31
3,低音中鼓,16.36,5.97,20.88
3,低音中鼓,16.66,11.94,20.44
3,低音中鼓,17.81,9.45,22.82
3,低音中鼓,18.82,8.82,21.94
3,低音中鼓,19.13,9.4,21.12
3,低音中鼓,19.66,10.51,20.69
3,低音中鼓,20.03,9.23,21.34
3,低音中鼓,20.92,5.92,23.96
3,低音中鼓,21.98,15.79,24.99
3,低音中鼓,22.1,9.16,24.21
3,低音中鼓,19.58,9.83,22.76
3,低音中鼓,22.17,7.05,19.37
4,落地鼓,-0.04,3.1,19.71
4,落地鼓,0.35,16.41,33.24
4,落地鼓,3.0,11.37,28.09
4,落地鼓,6.51,6.18,22.61
4,落地鼓,8.47,11.22,20.41
4,落地鼓,8.5,11.99,20.16
4,落地鼓,10.61,8.91,19.97
4,落地鼓,10.95,12.79,19.2
4,落地鼓,8.93,9.34,21.37
4,落地鼓,8.19,6.22,17.59
4,落地鼓,9.04,16.4,23.78
4,落地鼓,8.18,9.27,22.55
4,落地鼓,9.08,13.17,18.99
4,落地鼓,8.92,12.67,20.03
4,落地鼓,10.7,7.04,22.17
4,落地鼓,10.22,13.41,20.0
4,落地鼓,10.98,10.85,17.84
4,落地鼓,11.87,11.32,16.73
4,落地鼓,12.11,9.34,16.09
4,落地鼓,13.47,7.03,20.02
5,碎音鈸2,-17.77,4.83,18.16
5,碎音鈸2,-17.18,7.61,22.65
5,碎音鈸2,-17.38,5.76,19.35
5,碎音鈸2,-18.44,5.7,18.47
5,碎音鈸2,-18.08,3.21,14.18
5,碎音鈸2,-18.7,5.17,15.21
5,碎音鈸2,-17.38,2.95,19.53
5,碎音鈸2,-17.96,6.9,18.63
5,碎音鈸2,-16.99,3.42,18.54
5,碎音鈸2,-16.37,5.21,16.61
5,碎音鈸2,-17.18,12.52,22.04
5,碎音鈸2,-16.36,7.91,19.89
5,碎音鈸2,-15.58,7.73,16.87
5,碎音鈸2,-15.03,7.26,17.3
5,碎音鈸2,-15.17,10.49,15.25
5,碎音鈸2,-14.89,7.88,15.74
5,碎音鈸2,-15.81,7.23,14.49
5,碎音鈸2,-15.25,8.66,18.51
5,碎音鈸2,-14.19,5.21,18.94
5,碎音鈸2,-16.17,7.67,18.35
6,疊音拔,-43.08,-0.06,17.4
6,疊音拔,-48.35,4.52,20.14
6,疊音拔,-50.94,4.69,15.36
6,疊音拔,-50.01,-2.31,16.29
6,疊音拔,-51.28,2.0,15.15
6,疊音拔,-50.41,4.03,16.38
6,疊音拔,-48.38,0.75,13.52
6,疊音拔,-48.31,1.3,15.95
6,疊音拔,-46.74,1.48,15.09
6,疊音拔,-47.07,-1.14,15.23
6,疊音拔,-48.53,3.76,16.86
6,疊音拔,-48.04,-0.33,17.31
6,疊音拔,-47.92,0.49,15.01
6,疊音拔,-47.97,1.94,16.81
6,疊音拔,-48.21,-0.17,16.47
6,疊音拔,-49.26,2.6,15.65
6,疊音拔,-48.64,1.66,18.0
6,疊音拔,-46.53,-0.18,16.33
6,疊音拔,-47.19,1.97,16.43
6,疊音拔,-45.8,5.27,20.84
