Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,102.03,-26.01,15.29
0,碎音鈸,102.17,-28.41,12.28
0,碎音鈸,100.89,-28.88,11.67
0,碎音鈸,105.38,-32.09,16.24
0,碎音鈸,103.97,-26.0,23.18
0,碎音鈸,105.11,-36.58,29.0
0,碎音鈸,103.09,-37.63,24.77
0,碎音鈸,99.45,-36.74,25.17
0,碎音鈸,101.29,-38.77,26.89
0,碎音鈸,102.49,-38.92,29.9
0,碎音鈸,101.0,-38.05,31.02
0,碎音鈸,103.49,-30.8,29.24
0,碎音鈸,101.73,-24.57,27.03
0,碎音鈸,106.91,-25.39,32.87
0,碎音鈸,105.48,-23.49,32.97
0,碎音鈸,107.58,-23.94,23.46
0,碎音鈸,110.69,-21.27,25.19
0,碎音鈸,113.94,-25.87,29.89
0,碎音鈸,107.08,-20.75,38.91
0,碎音鈸,110.82,-18.51,41.46
1,小鼓,73.73,-15.07,47.3
1,小鼓,75.97,-39.79,49.42
1,小鼓,71.89,-34.25,30.32
1,小鼓,64.35,-42.17,26.78
1,小鼓,60.74,-37.66,26.96
1,小鼓,63.34,-51.27,24.75
1,小鼓,61.15,-33.11,32.29
1,小鼓,60.66,-56.75,30.59
1,小鼓,58.95,-35.31,33.57
1,小鼓,62.53,-36.07,29.79
1,小鼓,56.1,-35.85,26.01
1,小鼓,58.62,-40.31,21.14
1,小鼓,52.43,-36.04,22.03
1,小鼓,54.34,-37.34,22.03
1,小鼓,55.49,-42.02,22.32
1,小鼓,53.79,-46.68,25.2
1,小鼓,48.11,-47.87,22.21
1,小鼓,49.31,-49.29,21.95
1,小鼓,51.78,-40.38,24.87
1,小鼓,54.2,-48.11,21.96
2,高音中鼓,53.24,-48.56,14.88
2,高音中鼓,-129.7,-74.38,15.45
2,高音中鼓,25.6,-46.29,33.63
2,高音中鼓,17.06,-48.29,31.19
2,高音中鼓,26.66,-40.66,24.77
2,高音中鼓,10.63,-61.73,23.71
2,高音中鼓,7.12,-57.61,23.08
2,高音中鼓,20.08,-52.97,18.85
2,高音中鼓,1.0,-64.56,20.09
2,高音中鼓,23.65,-37.8,30.18
2,高音中鼓,4.67,-61.66,28.4
2,高音中鼓,23.81,-51.15,26.86
2,高音中鼓,25.99,-31.27,32.91
2,高音中鼓,25.0,-34.19,23.77
2,高音中鼓,29.81,-48.07,22.88
2,高音中鼓,20.1,-31.7,21.96
2,高音中鼓,20.83,-32.16,20.52
2,高音中鼓,23.39,-48.8,23.05
2,高音中鼓,12.77,-31.57,25.76
2,高音中鼓,17.3,-38.45,22.25
3,低音中鼓,14.07,-42.35,14.91
3,低音中鼓,0.11,-36.47,22.76
3,低音中鼓,-10.94,-37.09,23.13
3,低音中鼓,-9.52,-35.7,19.28
3,低音中鼓,-10.62,-45.63,19.19
3,低音中鼓,-18.44,-32.33,19.13
3,低音中鼓,-16.27,-31.24,17.85
3,低音中鼓,-19.88,-30.3,15.64
3,低音中鼓,-19.34,-35.37,18.71
3,低音中鼓,-21.43,-41.44,16.28
