Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,94.8,5.29,25.15
0,碎音鈸,89.24,3.75,31.18
0,碎音鈸,87.98,9.53,17.92
0,碎音鈸,88.34,3.6,22.67
0,碎音鈸,89.17,4.36,23.31
0,碎音鈸,85.22,3.82,20.3
0,碎音鈸,85.54,7.13,22.79
0,碎音鈸,83.75,4.95,22.79
0,碎音鈸,87.99,7.39,21.6
0,碎音鈸,83.07,3.33,20.88
0,碎音鈸,82.78,5.64,17.28
0,碎音鈸,84.87,12.44,20.46
0,碎音鈸,81.8,8.65,21.09
0,碎音鈸,82.2,6.18,18.12
0,碎音鈸,81.44,4.09,15.25
0,碎音鈸,83.25,3.9,16.75
0,碎音鈸,79.8,0.26,15.98
0,碎音鈸,78.68,0.53,15.8
0,碎音鈸,78.84,-2.91,15.47
0,碎音鈸,79.18,-3.07,16.16
1,小鼓,29.02,-14.93,18.33
1,小鼓,27.69,-13.03,23.89
1,小鼓,28.23,-13.44,16.85
1,小鼓,27.72,-12.78,16.99
1,小鼓,27.63,-17.99,17.11
1,小鼓,25.34,-16.19,17.91
1,小鼓,25.45,-16.35,21.95
1,小鼓,24.05,-15.0,19.56
1,小鼓,22.4,-12.95,17.29
1,小鼓,20.87,-15.51,18.41
1,小鼓,23.09,-15.39,19.35
1,小鼓,23.12,-13.45,17.14
1,小鼓,21.38,-14.04,17.86
1,小鼓,18.73,-17.02,16.76
1,小鼓,19.06,-14.79,17.05
1,小鼓,17.67,-15.3,15.79
1,小鼓,20.23,-11.84,15.94
1,小鼓,18.4,-13.12,15.51
1,小鼓,21.11,-12.8,18.33
1,小鼓,19.58,-13.25,14.75
2,高音中鼓,-15.38,-14.77,19.82
2,高音中鼓,-9.13,-10.35,22.14
2,高音中鼓,-8.63,-10.81,12.1
2,高音中鼓,-8.72,-14.75,13.07
2,高音中鼓,-5.3,-12.49,11.17
2,高音中鼓,-7.16,-13.82,10.65
2,高音中鼓,-10.63,-13.69,13.73
2,高音中鼓,-10.69,-14.72,16.26
2,高音中鼓,-9.77,-11.35,16.53
2,高音中鼓,-10.18,-14.7,17.92
2,高音中鼓,-11.04,-15.67,15.7
2,高音中鼓,-12.07,-13.81,15.94
2,高音中鼓,-10.21,-11.7,15.67
2,高音中鼓,-12.17,-13.47,16.94
2,高音中鼓,-12.68,-16.1,18.04
2,高音中鼓,-12.47,-20.98,18.26
2,高音中鼓,-11.45,-19.19,15.7
2,高音中鼓,-10.79,-18.84,16.7
2,高音中鼓,-12.41,-22.3,20.97
2,高音中鼓,-10.08,-17.31,21.04
3,低音中鼓,-32.14,-19.76,18.34
3,低音中鼓,-35.64,-21.58,17.89
3,低音中鼓,-39.87,-22.13,15.53
3,低音中鼓,-40.89,-25.48,21.81
3,低音中鼓,-43.29,-26.53,20.24
3,低音中鼓,-39.94,-22.31,18.92
3,低音中鼓,-39.06,-22.15,19.54
3,低音中鼓,-41.88,-23.18,17.54
3,低音中鼓,-41.24,-21.33,16.19
3,低音中鼓,-40.09,-21.98,17.58
3,低音中鼓,-46.69,-29.33,19.2
3,低音中鼓,-46.69,-25.88,18.46
3,低音中鼓,-48.44,-23.35,21.4
3,低音中鼓,-52.07,-25.36,23.41
3,低音中鼓,-48.85,-22.99,25.15
3,低音中鼓,-51.44,-24.45,21.93
3,低音中鼓,-54.93,-25.99,16.71
3,低音中鼓,-51.75,-24.29,26.32
3,低音中鼓,-49.26,-22.51,23.45
3,低音中鼓,-48.21,-22.54,19.91
4,落地鼓,-75.19,-21.28,17.91
4,落地鼓,-77.03,-17.18,20.75
4,落地鼓,-76.82,-16.15,22.67
4,落地鼓,-81.55,-27.75,25.96
4,落地鼓,-75.35,-20.29,21.83
4,落地鼓,-74.08,-24.19,18.57
4,落地鼓,-76.21,-23.45,17.72
4,落地鼓,-81.31,-26.73,19.38
4,落地鼓,-79.14,-27.02,18.36
4,落地鼓,-77.25,-26.02,19.33
4,落地鼓,-73.39,-22.01,19.1
